title,review,username,app_name,app_id,country,rating,sentiment,date,day,version_lvl1,version_lvl2,version_lvl3,link_words
Getting worst,"This is the app I always using for standard editing and very good to use, able to change or save picture in high resolution, now this feature gone, no more higher resolution to save anymore, sorry I walk away.",Zakumo,Pixlr,526783584,Malaysia,1,Negative,2021-01-28,Thursday,3,3.4,3.4.21,save picture
Getting worst,"This is the app I always using for standard editing and very good to use, able to change or save picture in high resolution, now this feature gone, no more higher resolution to save anymore, sorry I walk away.",Zakumo,Pixlr,526783584,Malaysia,1,Negative,2021-01-28,Thursday,3,3.4,3.4.21,feature go
Getting worst,"This is the app I always using for standard editing and very good to use, able to change or save picture in high resolution, now this feature gone, no more higher resolution to save anymore, sorry I walk away.",Zakumo,Pixlr,526783584,Malaysia,1,Negative,2021-01-28,Thursday,3,3.4,3.4.21,standard good editing
Getting worst,"This is the app I always using for standard editing and very good to use, able to change or save picture in high resolution, now this feature gone, no more higher resolution to save anymore, sorry I walk away.",Zakumo,Pixlr,526783584,Malaysia,1,Negative,2021-01-28,Thursday,3,3.4,3.4.21,high resolution
What happend?,What to the Negative effect? It’s gone. I literally just use it couple of hour ago. But now it’s gone. Is it gone forever or just a bug?,Nickname is already taken wtf,Pixlr,526783584,Malaysia,2,Negative,2020-11-26,Thursday,3,3.4,3.4.19,use couple
What happend?,What to the Negative effect? It’s gone. I literally just use it couple of hour ago. But now it’s gone. Is it gone forever or just a bug?,Nickname is already taken wtf,Pixlr,526783584,Malaysia,2,Negative,2020-11-26,Thursday,3,3.4,3.4.19,Negative effect
What happend?,What to the Negative effect? It’s gone. I literally just use it couple of hour ago. But now it’s gone. Is it gone forever or just a bug?,Nickname is already taken wtf,Pixlr,526783584,Malaysia,2,Negative,2020-11-26,Thursday,3,3.4,3.4.19,couple of hour
Can’t use,Why my iphone cannot use this App ?,ajak ungkal,Pixlr,526783584,Malaysia,3,Neutral,2019-12-12,Thursday,3,3.4,3.4.11,use App
Can’t use,Why my iphone cannot use this App ?,ajak ungkal,Pixlr,526783584,Malaysia,3,Neutral,2019-12-12,Thursday,3,3.4,3.4.11,iphone use
Can’t use,Why my iphone cannot use this App ?,ajak ungkal,Pixlr,526783584,Malaysia,3,Neutral,2019-12-12,Thursday,3,3.4,3.4.11,iphone use App
Need to buy the overlay effect after use for many years.,"This apps totally nice but now when i want to download the effect of overlay, i need to buy it after i use it a long time ago.. why it happened now.????",Skrilex93,Pixlr,526783584,Malaysia,2,Negative,2019-01-20,Sunday,3,3.4,3.4.3,download effect
Need to buy the overlay effect after use for many years.,"This apps totally nice but now when i want to download the effect of overlay, i need to buy it after i use it a long time ago.. why it happened now.????",Skrilex93,Pixlr,526783584,Malaysia,2,Negative,2019-01-20,Sunday,3,3.4,3.4.3,effect of overlay
Paint bucket tool,"Hi sirs, 

Wondering why don’t have paint bucket tool in your mobile app ?

Thank you
Joe koh",Joeklc,Pixlr,526783584,Malaysia,2,Negative,2018-10-26,Friday,3,3.3,3.3.10,have tool
Paint bucket tool,"Hi sirs, 

Wondering why don’t have paint bucket tool in your mobile app ?

Thank you
Joe koh",Joeklc,Pixlr,526783584,Malaysia,2,Negative,2018-10-26,Friday,3,3.3,3.3.10,bucket tool
Paint bucket tool,"Hi sirs, 

Wondering why don’t have paint bucket tool in your mobile app ?

Thank you
Joe koh",Joeklc,Pixlr,526783584,Malaysia,2,Negative,2018-10-26,Friday,3,3.3,3.3.10,mobile app
Yay,I FINALLY FOUND THIS APP AFTER 2 YEARS!! YOU ARE IN THE TODAY’S PAGE AND MADE ME CHEER UP! THANK YOU FOR ALL THE YEAR SUPPORT!,55050555500W,Pixlr,526783584,Malaysia,5,Positive,2018-10-25,Thursday,3,3.3,3.3.10,FOUND APP
Yay,I FINALLY FOUND THIS APP AFTER 2 YEARS!! YOU ARE IN THE TODAY’S PAGE AND MADE ME CHEER UP! THANK YOU FOR ALL THE YEAR SUPPORT!,55050555500W,Pixlr,526783584,Malaysia,5,Positive,2018-10-25,Thursday,3,3.3,3.3.10,CHEER UP
Cant use Double Exposure tool,cant add png file into the background . png look transparent,dickson nwakame,Pixlr,526783584,Malaysia,1,Negative,2018-07-23,Monday,3,3.3,3.3.8,add file
Cant use Double Exposure tool,cant add png file into the background . png look transparent,dickson nwakame,Pixlr,526783584,Malaysia,1,Negative,2018-07-23,Monday,3,3.3,3.3.8,png look
Cant use Double Exposure tool,cant add png file into the background . png look transparent,dickson nwakame,Pixlr,526783584,Malaysia,1,Negative,2018-07-23,Monday,3,3.3,3.3.8,png file
Cannot open,This apps is wonderful but after I installed ios11 the picture that I want to edit cannot be opened please fix it ASAP,Rakesh Christoval,Pixlr,526783584,Malaysia,2,Negative,2017-09-23,Saturday,3,3.3,3.3.0,installed ios11
Cannot open,This apps is wonderful but after I installed ios11 the picture that I want to edit cannot be opened please fix it ASAP,Rakesh Christoval,Pixlr,526783584,Malaysia,2,Negative,2017-09-23,Saturday,3,3.3,3.3.0,installed ios11installed picture
Perfect,Lot of things can do with pictures.,Alvee Aziz,Pixlr,526783584,Malaysia,5,Positive,2017-08-18,Friday,3,3.2,3.2.1,Lot do
Perfect,Lot of things can do with pictures.,Alvee Aziz,Pixlr,526783584,Malaysia,5,Positive,2017-08-18,Friday,3,3.2,3.2.1,Lot of things
Please fix,This app cannot save after edit photo..,Ayitfung94,Pixlr,526783584,Malaysia,5,Positive,2016-05-02,Monday,3,3.1,3.1.0,app save
Please fix,This app cannot save after edit photo..,Ayitfung94,Pixlr,526783584,Malaysia,5,Positive,2016-05-02,Monday,3,3.1,3.1.0,edit photo
Nice and friendly used,The apps was nice and easy used. Just if it can add in Chinese font type will be better.,Shin860513Fang,Pixlr,526783584,Malaysia,5,Positive,2016-01-15,Friday,3,3.1,3.1.0,Chinese font type
Best app ever,I hope more filters and fx and stickers,Sona vans,Pixlr,526783584,Malaysia,4,Positive,2015-10-10,Saturday,2,2.6,2.6.5,hope filters
Best app ever,I hope more filters and fx and stickers,Sona vans,Pixlr,526783584,Malaysia,4,Positive,2015-10-10,Saturday,2,2.6,2.6.5,more filters
Worst update,Can't save image.. Keep loading when try to save image.. Sometimes need to reupload filter.. Please fix it!!,Encik Leo Leo X,Pixlr,526783584,Malaysia,1,Negative,2015-06-12,Friday,2,2.6,2.6.2,save image
Worst update,Can't save image.. Keep loading when try to save image.. Sometimes need to reupload filter.. Please fix it!!,Encik Leo Leo X,Pixlr,526783584,Malaysia,1,Negative,2015-06-12,Friday,2,2.6,2.6.2,Keep loading
Worst update,Can't save image.. Keep loading when try to save image.. Sometimes need to reupload filter.. Please fix it!!,Encik Leo Leo X,Pixlr,526783584,Malaysia,1,Negative,2015-06-12,Friday,2,2.6,2.6.2,save image
Worst update,Can't save image.. Keep loading when try to save image.. Sometimes need to reupload filter.. Please fix it!!,Encik Leo Leo X,Pixlr,526783584,Malaysia,1,Negative,2015-06-12,Friday,2,2.6,2.6.2,reupload filter
Great app!,Thank you so much for the new update!,Angry Ayam,Pixlr,526783584,Malaysia,4,Positive,2015-02-27,Friday,2,2.6,2.6.0,new update
Same problem here,I can't open it. It goes to the home page and then it stuck. Then it goes to the home screen. Please fix this. It… Does not optimized for iPhone 4 ?,Misaka_Meow,Pixlr,526783584,Malaysia,1,Negative,2014-12-05,Friday,2,2.5,2.5.0,home page
Same problem here,I can't open it. It goes to the home page and then it stuck. Then it goes to the home screen. Please fix this. It… Does not optimized for iPhone 4 ?,Misaka_Meow,Pixlr,526783584,Malaysia,1,Negative,2014-12-05,Friday,2,2.5,2.5.0,home screen
Doesnt open,"I've opened this and tapped on the images/camera/college section and suddenly went back to home screen. Tried a few times, but still not working, i couldnt proceed to edit. Please fix this.",Otakugina,Pixlr,526783584,Malaysia,1,Negative,2014-12-03,Wednesday,2,2.5,2.5.0,college section
Doesnt open,"I've opened this and tapped on the images/camera/college section and suddenly went back to home screen. Tried a few times, but still not working, i couldnt proceed to edit. Please fix this.",Otakugina,Pixlr,526783584,Malaysia,1,Negative,2014-12-03,Wednesday,2,2.5,2.5.0,home screen
What happened,"I love this app, it's my favourite photography app. But for some reason, every time I close the app, it makes me redownload the effects/filters EVERY time I open it again. It's annoying because sometimes I want to edit my photos when I'm offline. I've already tried deleting the app and redownloading, no difference. Please fix this.",reywx,Pixlr,526783584,Malaysia,1,Negative,2014-11-10,Monday,2,2.3,2.3.0,love app
What happened,"I love this app, it's my favourite photography app. But for some reason, every time I close the app, it makes me redownload the effects/filters EVERY time I open it again. It's annoying because sometimes I want to edit my photos when I'm offline. I've already tried deleting the app and redownloading, no difference. Please fix this.",reywx,Pixlr,526783584,Malaysia,1,Negative,2014-11-10,Monday,2,2.3,2.3.0,close app
What happened,"I love this app, it's my favourite photography app. But for some reason, every time I close the app, it makes me redownload the effects/filters EVERY time I open it again. It's annoying because sometimes I want to edit my photos when I'm offline. I've already tried deleting the app and redownloading, no difference. Please fix this.",reywx,Pixlr,526783584,Malaysia,1,Negative,2014-11-10,Monday,2,2.3,2.3.0,redownload effects
What happened,"I love this app, it's my favourite photography app. But for some reason, every time I close the app, it makes me redownload the effects/filters EVERY time I open it again. It's annoying because sometimes I want to edit my photos when I'm offline. I've already tried deleting the app and redownloading, no difference. Please fix this.",reywx,Pixlr,526783584,Malaysia,1,Negative,2014-11-10,Monday,2,2.3,2.3.0,redownload effectsredownload filters
What happened,"I love this app, it's my favourite photography app. But for some reason, every time I close the app, it makes me redownload the effects/filters EVERY time I open it again. It's annoying because sometimes I want to edit my photos when I'm offline. I've already tried deleting the app and redownloading, no difference. Please fix this.",reywx,Pixlr,526783584,Malaysia,1,Negative,2014-11-10,Monday,2,2.3,2.3.0,edit photos
What happened,"I love this app, it's my favourite photography app. But for some reason, every time I close the app, it makes me redownload the effects/filters EVERY time I open it again. It's annoying because sometimes I want to edit my photos when I'm offline. I've already tried deleting the app and redownloading, no difference. Please fix this.",reywx,Pixlr,526783584,Malaysia,1,Negative,2014-11-10,Monday,2,2.3,2.3.0,deleting app
What happened,"I love this app, it's my favourite photography app. But for some reason, every time I close the app, it makes me redownload the effects/filters EVERY time I open it again. It's annoying because sometimes I want to edit my photos when I'm offline. I've already tried deleting the app and redownloading, no difference. Please fix this.",reywx,Pixlr,526783584,Malaysia,1,Negative,2014-11-10,Monday,2,2.3,2.3.0,deleting appdeleting difference
Work; Doesn't work!,This is good app though. However the app auto shut down while saving the picture. iPhone 4S.,Jensen K,Pixlr,526783584,Malaysia,2,Negative,2014-10-23,Thursday,2,2.3,2.3.0,saving picture
Work; Doesn't work!,This is good app though. However the app auto shut down while saving the picture. iPhone 4S.,Jensen K,Pixlr,526783584,Malaysia,2,Negative,2014-10-23,Thursday,2,2.3,2.3.0,auto shut
Work; Doesn't work!,This is good app though. However the app auto shut down while saving the picture. iPhone 4S.,Jensen K,Pixlr,526783584,Malaysia,2,Negative,2014-10-23,Thursday,2,2.3,2.3.0,app auto
iPhone 4,That's awesome photo editing app I loving It.. :-) :-*,Ali bodla,Pixlr,526783584,Malaysia,5,Positive,2014-08-03,Sunday,2,2.2,2.2.1,editing app
More than Delight ~,The most amazing photo editor apps i ever seen !!! Is really easy to use and convenience for a better photo edit. Appreciated with this great creation~ Wondering why there are so less people know Pixlr :(,DurianApple,Pixlr,526783584,Malaysia,5,Positive,2014-03-29,Saturday,2,2.2,2.2.1,know Pixlr
More than Delight ~,The most amazing photo editor apps i ever seen !!! Is really easy to use and convenience for a better photo edit. Appreciated with this great creation~ Wondering why there are so less people know Pixlr :(,DurianApple,Pixlr,526783584,Malaysia,5,Positive,2014-03-29,Saturday,2,2.2,2.2.1,people know
More than Delight ~,The most amazing photo editor apps i ever seen !!! Is really easy to use and convenience for a better photo edit. Appreciated with this great creation~ Wondering why there are so less people know Pixlr :(,DurianApple,Pixlr,526783584,Malaysia,5,Positive,2014-03-29,Saturday,2,2.2,2.2.1,people know Pixlr
More than Delight ~,The most amazing photo editor apps i ever seen !!! Is really easy to use and convenience for a better photo edit. Appreciated with this great creation~ Wondering why there are so less people know Pixlr :(,DurianApple,Pixlr,526783584,Malaysia,5,Positive,2014-03-29,Saturday,2,2.2,2.2.1,better photo edit
Best editing apps,"Great , pack of function. To me its a minimal photoshop.",Ipinoic,Pixlr,526783584,Malaysia,4,Positive,2013-12-24,Tuesday,2,2.2,2.2.0,pack of function
Best editing apps,"Great , pack of function. To me its a minimal photoshop.",Ipinoic,Pixlr,526783584,Malaysia,4,Positive,2013-12-24,Tuesday,2,2.2,2.2.0,photoshop To
The best so far,The only app you will need to edit your photos,Josstech,Pixlr,526783584,Malaysia,5,Positive,2013-11-30,Saturday,2,2.1,2.1.1,edit photos
Crashed,"Overall great app. But after the latest update, can't download font! been going on for weeks! fix it guys!",fulcrum23,Pixlr,526783584,Malaysia,1,Negative,2013-11-20,Wednesday,2,2.1,2.1.1,download font
Crashed,"Overall great app. But after the latest update, can't download font! been going on for weeks! fix it guys!",fulcrum23,Pixlr,526783584,Malaysia,1,Negative,2013-11-20,Wednesday,2,2.1,2.1.1,fix guys
Crashed,"Overall great app. But after the latest update, can't download font! been going on for weeks! fix it guys!",fulcrum23,Pixlr,526783584,Malaysia,1,Negative,2013-11-20,Wednesday,2,2.1,2.1.1,latest update
Always crash,Please fix the error.. Seen it always crash. I had send report many times. But still no action taken.. Btw this app awesome.. Thanks,AdamXCVI,Pixlr,526783584,Malaysia,3,Neutral,2013-10-17,Thursday,2,2.1,2.1.0,fix error
Always crash,Please fix the error.. Seen it always crash. I had send report many times. But still no action taken.. Btw this app awesome.. Thanks,AdamXCVI,Pixlr,526783584,Malaysia,3,Neutral,2013-10-17,Thursday,2,2.1,2.1.0,send report
Always crash,Please fix the error.. Seen it always crash. I had send report many times. But still no action taken.. Btw this app awesome.. Thanks,AdamXCVI,Pixlr,526783584,Malaysia,3,Neutral,2013-10-17,Thursday,2,2.1,2.1.0,action take
Best!,I love this one! Many choices and easy to use.. :),Hazirah Yusof,Pixlr,526783584,Malaysia,5,Positive,2013-08-28,Wednesday,1,1.3,1.3.1,love one
BEST APP EVER,I'm trying to update the app but it's not working :(,[.]Samantha[.],Pixlr,526783584,Malaysia,5,Positive,2013-07-05,Friday,1,1.3,1.3.0,update app
