link_words,count,rating,sentiment
Love version,1,5,Positive
free version,1,5,Positive
great design,1,5,Positive
guys From web,1,5,Positive
have tons,1,5,Positive
new features,1,5,Positive
other apps,1,5,Positive
tons of rooms,1,5,Positive
tool for design,1,5,Positive
try premium,1,5,Positive
clear cookies,1,4,Positive
download project,1,4,Positive
fix bug,1,4,Positive
fix crop,1,4,Positive
see tutorial,1,4,Positive
Canva save,1,1,Negative
alternative to Canva,1,1,Negative
elements be,1,1,Negative
guys try,1,1,Negative
guys try crello,1,1,Negative
icon require,1,1,Negative
image be,1,1,Negative
next page,1,1,Negative
page go,1,1,Negative
premium product,1,1,Negative
purchase product,1,1,Negative
recommended ðŸ™‚,1,1,Negative
try crello,1,1,Negative
